"id","label","entity_type","openatlas_class","tradition","tradition_context","date","prg_number","alt_id","source_xml","description"
"PRG-196","Oratio in vestiario.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CXCVI","(PRG n. CXCVI; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 808)","CARo - Pontifical Romano-Germanique.XML","Oratio in vestiario. (PRG-196)"
"PRG-197","In * scriptorio.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CXCVII","(PRG n. CXCVII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 809)","CARo - Pontifical Romano-Germanique.XML","In * scriptorio. (PRG-197)"
"PRG-198","In dormitorio. s","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CXCVIII","(PRG n. CXCVIII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 809)","CARo - Pontifical Romano-Germanique.XML","In dormitorio. s (PRG-198)"
"PRG-199","In refectorio.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CXCIX","(PRG n. CXCIX; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 809)","CARo - Pontifical Romano-Germanique.XML","In refectorio. (PRG-199)"
"PRG-200","In cellario.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CC","(PRG n. CC; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 809)","CARo - Pontifical Romano-Germanique.XML","In cellario. (PRG-200)"
"PRG-201","In coquina.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CCI","(PRG n. CCI; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 810)","CARo - Pontifical Romano-Germanique.XML","In coquina. (PRG-201)"
"PRG-202","In hospitali.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CCII","(PRG n. CCII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 810)","CARo - Pontifical Romano-Germanique.XML","In hospitali. (PRG-202)"
"PRG-203","In pirali vel caminata.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CCIII","(PRG n. CCIII; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 810)","CARo - Pontifical Romano-Germanique.XML","In pirali vel caminata. (PRG-203)"
"PRG-204","In domo infirmorum.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CCIV","(PRG n. CCIV; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 811)","CARo - Pontifical Romano-Germanique.XML","In domo infirmorum. (PRG-204)"
"PRG-205","In area nova.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CCV","(PRG n. CCV; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 811)","CARo - Pontifical Romano-Germanique.XML","In area nova. (PRG-205)"
"PRG-206","In horreo vel granario.","ordo_text","E33 Linguistic Object","PRG","Romano-Germanic Pontifical tradition","10th century","CCVI","(PRG n. CCVI; Vogel-Elze, LE TEXTE II (NN. XCIX-CCLVIII); extracted from PDF p. 811)","CARo - Pontifical Romano-Germanique.XML","In horreo vel granario. (PRG-206)"
