"subject","predicate","object","certainty","source"
"ms-ocf-xv-h","associated_source_actor","actor-iiif","probable","entity enrichment"
"ms-ocf-xv-h","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-h","has_reference","ref-ms-ocf-xv-h-digital","certain","iiif_manifest"
"ms-ocf-xv-h","cited_by","ref-ms-ocf-xv-h-bib-1","certain","edition_or_catalogue"
"ms-ocf-xv-i","associated_with","actor-saint-loup-troyes","probable","entity enrichment"
"ms-ocf-xv-i","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xv-i","associated_source_actor","actor-biblissima","probable","entity enrichment"
"ms-ocf-xv-i","associated_source_actor","actor-iiif","probable","entity enrichment"
"ms-ocf-xv-i","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-i","has_reference","ref-ms-ocf-xv-i-digital","certain","iiif_manifest"
"ms-ocf-xv-i","cited_by","ref-ms-ocf-xv-i-bib-1","certain","edition_or_catalogue"
"ms-ocf-xv-j","associated_with","actor-tyre-church","probable","entity enrichment"
"ms-ocf-xv-j","edited_or_studied_by","actor-hans-eberhard-mayer","probable","entity enrichment"
"ms-ocf-xv-j","associated_source_actor","actor-biblissima","probable","entity enrichment"
"ms-ocf-xv-j","associated_source_actor","actor-iiif","probable","entity enrichment"
"ms-ocf-xv-j","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xv-j","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-j","has_reference","ref-ms-ocf-xv-j-digital","certain","iiif_manifest"
"ms-ocf-xv-j","cited_by","ref-ms-ocf-xv-j-bib-1","certain","bibliography"
"ms-ocf-xv-k","associated_with","actor-reims-cathedral","probable","entity enrichment"
"ms-ocf-xv-k","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xv-k","associated_source_actor","actor-biblissima","probable","entity enrichment"
"ms-ocf-xv-k","associated_source_actor","actor-iiif","probable","entity enrichment"
"ms-ocf-xv-k","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-k","has_reference","ref-ms-ocf-xv-k-digital","certain","iiif_manifest"
"ms-ocf-xv-k","cited_by","ref-ms-ocf-xv-k-bib-1","certain","edition_or_catalogue"
"ms-ocf-xv-l","associated_with","actor-chartres-cathedral","probable","entity enrichment"
"ms-ocf-xv-l","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xv-l","associated_source_actor","actor-biblissima","probable","entity enrichment"
"ms-ocf-xv-l","associated_source_actor","actor-iiif","probable","entity enrichment"
"ms-ocf-xv-l","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-l","has_reference","ref-ms-ocf-xv-l-digital","certain","iiif_manifest"
"ms-ocf-xv-l","cited_by","ref-ms-ocf-xv-l-bib-1","certain","edition_or_catalogue"
"ms-ocf-xv-m","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xv-m","associated_with","actor-metz-church","probable","entity enrichment"
"ms-ocf-xv-m","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xv-m","associated_source_actor","actor-gallica","probable","entity enrichment"
"ms-ocf-xv-m","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-m","has_reference","ref-ms-ocf-xv-m-digital","certain","digital_facsimile"
"ms-ocf-xv-m","cited_by","ref-ms-ocf-xv-m-bib-1","certain","edition_or_catalogue"
"ms-ocf-xv-n","associated_with","actor-saint-martin-tournai","probable","entity enrichment"
"ms-ocf-xv-n","edited_or_studied_by","actor-joseph-van-den-gheyn","probable","entity enrichment"
"ms-ocf-xv-n","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xv-n","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-n","has_reference","ref-ms-ocf-xv-n-digital","certain","digital_facsimile"
"ms-ocf-xv-n","cited_by","ref-ms-ocf-xv-n-bib-1","certain","edition_or_catalogue"
"ms-ocf-xv-o","associated_with","actor-ter-doest","probable","entity enrichment"
"ms-ocf-xv-o","edited_or_studied_by","actor-albert-de-poorter","probable","entity enrichment"
"ms-ocf-xv-o","associated_source_actor","actor-biblissima","probable","entity enrichment"
"ms-ocf-xv-o","associated_source_actor","actor-iiif","probable","entity enrichment"
"ms-ocf-xv-o","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xv-o","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-o","has_reference","ref-ms-ocf-xv-o-digital","certain","iiif_manifest"
"ms-ocf-xv-o","cited_by","ref-ms-ocf-xv-o-bib-1","certain","edition_or_catalogue"
"ms-ocf-xv-p","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xv-p","associated_with","actor-noyon-church","probable","entity enrichment"
"ms-ocf-xv-p","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xv-p","associated_source_actor","actor-iiif","probable","entity enrichment"
"ms-ocf-xv-p","associated_source_actor","actor-gallica","probable","entity enrichment"
"ms-ocf-xv-p","associated_source_actor","actor-musmed","probable","entity enrichment"
"ms-ocf-xv-p","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-p","has_reference","ref-ms-ocf-xv-p-digital","certain","digital_facsimile"
"ms-ocf-xv-p","has_reference","ref-ms-ocf-xv-p-iiif","certain","iiif_manifest"
"ms-ocf-xv-p","cited_by","ref-ms-ocf-xv-p-bib-1","certain","edition_or_catalogue"
"ms-ocf-xv-q","edited_or_studied_by","actor-wladyslaw-schenk","probable","entity enrichment"
"ms-ocf-xv-q","associated_source_actor","actor-biblissima","probable","entity enrichment"
"ms-ocf-xv-q","associated_source_actor","actor-iiif","probable","entity enrichment"
"ms-ocf-xv-q","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xv-q","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-q","has_reference","ref-ms-ocf-xv-q-digital","certain","iiif_manifest"
"ms-ocf-xv-q","cited_by","ref-ms-ocf-xv-q-bib-1","certain","bibliography"
"ms-ocf-xv-r","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xv-r","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xv-r","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-r","has_reference","ref-ms-ocf-xv-r-digital","certain","digital_facsimile"
"ms-ocf-xv-s","associated_with","actor-chantilly-conde","probable","entity enrichment"
"ms-ocf-xv-s","associated_source_actor","actor-biblissima","probable","entity enrichment"
"ms-ocf-xv-s","associated_source_actor","actor-iiif","probable","entity enrichment"
"ms-ocf-xv-s","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xv-s","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-s","has_reference","ref-ms-ocf-xv-s-digital","certain","iiif_manifest"
"ms-ocf-xv-t","associated_with","actor-bnf","probable","entity enrichment"
"ms-ocf-xv-t","edited_or_studied_by","actor-victor-leroquais","probable","entity enrichment"
"ms-ocf-xv-t","edited_or_studied_by","actor-leopold-delisle","probable","entity enrichment"
"ms-ocf-xv-t","has_reference","ref-ms-ocf-xv-t-digital","certain","digital_facsimile"
"ms-ocf-xv-t","cited_by","ref-ms-ocf-xv-t-bib-1","certain","edition_or_catalogue"
"OCF-XV","belongs_to_tradition","tradition-ocf","certain","project vocabulary"
"OCF-XV","preserved_in","ms-ocf-xv-a","certain","OCF-XV witness list"
"OCF-XV","preserved_in","ms-ocf-xv-b","certain","OCF-XV witness list"
"OCF-XV","preserved_in","ms-ocf-xv-c","certain","OCF-XV witness list"
"OCF-XV","preserved_in","ms-ocf-xv-d","certain","OCF-XV witness list"
"OCF-XV","preserved_in","ms-ocf-xv-e","certain","OCF-XV witness list"
"OCF-XV","preserved_in","ms-ocf-xv-f","certain","OCF-XV witness list"
"OCF-XV","preserved_in","ms-ocf-xv-g","certain","OCF-XV witness list"
"OCF-XV","preserved_in","ms-ocf-xv-h","certain","OCF-XV witness list"
"OCF-XV","preserved_in","ms-ocf-xv-i","certain","OCF-XV witness list"
"OCF-XV","preserved_in","ms-ocf-xv-j","certain","OCF-XV witness list"
"OCF-XV","preserved_in","ms-ocf-xv-k","certain","OCF-XV witness list"
"OCF-XV","preserved_in","ms-ocf-xv-l","certain","OCF-XV witness list"
"OCF-XV","preserved_in","ms-ocf-xv-m","certain","OCF-XV witness list"
"OCF-XV","preserved_in","ms-ocf-xv-n","certain","OCF-XV witness list"
"OCF-XV","preserved_in","ms-ocf-xv-o","certain","OCF-XV witness list"
"OCF-XV","preserved_in","ms-ocf-xv-p","certain","OCF-XV witness list"
"OCF-XV","preserved_in","ms-ocf-xv-q","certain","OCF-XV witness list"
"OCF-XV","preserved_in","ms-ocf-xv-r","certain","OCF-XV witness list"
"OCF-XV","preserved_in","ms-ocf-xv-s","certain","OCF-XV witness list"
"OCF-XV","preserved_in","ms-ocf-xv-t","certain","OCF-XV witness list"
